t     x     v
2.10 0.50 0.19
2.11 0.50 0.19
2.11 0.50 0.19
2.12 0.50 0.19
2.12 0.50 0.19
2.13 0.50 0.18
2.13 0.50 0.18
2.14 0.50 0.18
2.14 0.50 0.18
2.15 0.50 0.18
2.15 0.51 0.18
2.16 0.51 0.18
2.16 0.51 0.18
2.17 0.51 0.18
2.17 0.51 0.18
2.18 0.51 0.18
2.18 0.51 0.18
2.19 0.51 0.18
2.19 0.51 0.18
2.20 0.51 0.18
2.20 0.51 0.18
2.21 0.52 0.18
2.21 0.52 0.18
2.22 0.52 0.18
2.22 0.52 0.18
2.23 0.52 0.18
2.23 0.52 0.18
2.24 0.52 0.18
2.24 0.52 0.17
2.25 0.52 0.17
2.25 0.52 0.17
2.26 0.52 0.17
2.26 0.52 0.17
2.27 0.53 0.17
2.27 0.53 0.17
2.28 0.53 0.17
2.28 0.53 0.17
2.29 0.53 0.17
2.29 0.53 0.17
2.30 0.53 0.17
2.30 0.53 0.17
2.31 0.53 0.17
2.31 0.53 0.17
2.32 0.53 0.17
2.32 0.53 0.17
2.33 0.54 0.17
2.33 0.54 0.17
2.34 0.54 0.17
2.34 0.54 0.17
2.35 0.54 0.17
2.35 0.54 0.17
2.36 0.54 0.17
2.36 0.54 0.16
2.37 0.54 0.16
2.37 0.54 0.16
2.38 0.54 0.16
2.38 0.54 0.16
2.39 0.55 0.16
2.39 0.55 0.16
2.40 0.55 0.16
2.40 0.55 0.16
2.41 0.55 0.16
2.41 0.55 0.16
2.42 0.55 0.16
2.42 0.55 0.16
2.43 0.55 0.16
2.43 0.55 0.16
2.44 0.55 0.16
2.44 0.55 0.16
2.45 0.56 0.16
2.45 0.56 0.16
2.46 0.56 0.16
2.46 0.56 0.16
2.47 0.56 0.16
2.47 0.56 0.16
2.48 0.56 0.16
2.48 0.56 0.16
2.49 0.56 0.15
2.49 0.56 0.15
2.50 0.56 0.15
2.50 0.56 0.15
2.51 0.56 0.15
2.51 0.57 0.15
2.52 0.57 0.15
2.52 0.57 0.15
2.53 0.57 0.15
2.53 0.57 0.15
2.54 0.57 0.15
2.54 0.57 0.15
2.55 0.57 0.15
2.55 0.57 0.15
2.56 0.57 0.15
2.56 0.57 0.15
2.57 0.57 0.15
2.57 0.57 0.15
2.58 0.58 0.15
2.58 0.58 0.15
2.59 0.58 0.15
2.59 0.58 0.15
2.60 0.58 0.15
2.60 0.58 0.15
2.61 0.58 0.15
2.61 0.58 0.15
2.62 0.58 0.15
2.62 0.58 0.14
2.63 0.58 0.14
2.63 0.58 0.14
2.64 0.58 0.14
2.64 0.58 0.14
2.65 0.59 0.14
2.65 0.59 0.14
2.66 0.59 0.14
2.66 0.59 0.14
2.67 0.59 0.14
2.67 0.59 0.14
2.68 0.59 0.14
2.68 0.59 0.14
2.69 0.59 0.14
2.69 0.59 0.14
2.70 0.59 0.14
2.70 0.59 0.14
2.71 0.59 0.14
2.71 0.59 0.14
2.72 0.60 0.14
2.72 0.60 0.14
2.73 0.60 0.14
2.73 0.60 0.14
2.74 0.60 0.14
2.74 0.60 0.14
2.75 0.60 0.14
2.75 0.60 0.14
2.76 0.60 0.14
2.76 0.60 0.14
2.77 0.60 0.14
2.77 0.60 0.13
2.78 0.60 0.13
2.78 0.60 0.13
2.79 0.60 0.13
2.79 0.61 0.13
2.80 0.61 0.13
2.80 0.61 0.13
2.81 0.61 0.13
2.81 0.61 0.13
2.82 0.61 0.13
2.82 0.61 0.13
2.83 0.61 0.13
2.83 0.61 0.13
2.84 0.61 0.13
2.84 0.61 0.13
2.85 0.61 0.13
2.85 0.61 0.13
2.86 0.61 0.13
2.86 0.61 0.13
2.87 0.62 0.13
2.87 0.62 0.13
2.88 0.62 0.13
2.88 0.62 0.13
2.89 0.62 0.13
2.89 0.62 0.13
2.90 0.62 0.13
2.90 0.62 0.13
2.91 0.62 0.13
2.91 0.62 0.13
2.92 0.62 0.13
2.92 0.62 0.13
2.93 0.62 0.12
2.93 0.62 0.12
2.94 0.62 0.12
2.94 0.62 0.12
2.95 0.63 0.12
2.95 0.63 0.12
2.96 0.63 0.12
2.96 0.63 0.12
2.97 0.63 0.11
2.97 0.63 0.11
2.98 0.63 0.10
2.98 0.63 0.10
2.99 0.63 0.09
2.99 0.63 0.09
3.00 0.63 0.09
3.00 0.63 0.08
3.01 0.63 0.08
3.01 0.63 0.07
3.02 0.63 0.07
3.02 0.63 0.06
3.03 0.63 0.06
3.03 0.63 0.05
3.04 0.63 0.05
3.04 0.63 0.04
3.05 0.63 0.04
3.05 0.63 0.03
3.06 0.63 0.03
3.06 0.63 0.02
3.07 0.63 0.02
3.07 0.63 0.01
3.08 0.63 0.01
3.08 0.63 0.00
3.09 0.63 -0.00
3.09 0.63 -0.01
3.10 0.63 -0.01
3.10 0.63 -0.02
3.11 0.63 -0.02
3.11 0.63 -0.03
3.12 0.63 -0.03
3.12 0.63 -0.04
3.13 0.63 -0.04
3.13 0.63 -0.05
3.14 0.63 -0.05
3.14 0.63 -0.06
3.15 0.63 -0.06
3.15 0.63 -0.07
3.16 0.63 -0.07
3.16 0.63 -0.08
3.17 0.63 -0.08
3.17 0.63 -0.09
3.18 0.63 -0.09
3.18 0.63 -0.10
3.19 0.63 -0.10
3.19 0.63 -0.11
3.20 0.63 -0.11
3.20 0.63 -0.11
3.21 0.63 -0.12
3.21 0.63 -0.12
3.22 0.63 -0.13
3.22 0.62 -0.13
3.23 0.62 -0.14
3.23 0.62 -0.14
3.24 0.62 -0.15
3.24 0.62 -0.15
3.25 0.62 -0.16
3.25 0.62 -0.16
3.26 0.62 -0.17
3.26 0.62 -0.17
3.27 0.62 -0.18
3.27 0.62 -0.18
3.28 0.62 -0.18
3.28 0.61 -0.19
3.29 0.61 -0.19
3.29 0.61 -0.20
3.30 0.61 -0.20
3.30 0.61 -0.21
3.31 0.61 -0.21
3.31 0.61 -0.22
3.32 0.61 -0.22
3.32 0.61 -0.22
3.33 0.61 -0.23
3.33 0.60 -0.23
3.34 0.60 -0.24
3.34 0.60 -0.24
3.35 0.60 -0.25
3.35 0.60 -0.25
3.36 0.60 -0.26
3.36 0.60 -0.26
3.37 0.60 -0.26
3.37 0.59 -0.27
3.38 0.59 -0.27
3.38 0.59 -0.28
3.39 0.59 -0.28
3.39 0.59 -0.29
3.40 0.59 -0.29
3.40 0.59 -0.29
3.41 0.58 -0.30
3.41 0.58 -0.30
3.42 0.58 -0.31
3.42 0.58 -0.31
3.43 0.58 -0.32
3.43 0.58 -0.32
3.44 0.57 -0.32
3.44 0.57 -0.33
3.45 0.57 -0.33
3.45 0.57 -0.34
3.46 0.57 -0.34
3.46 0.57 -0.35
3.47 0.56 -0.35
3.47 0.56 -0.35
3.48 0.56 -0.36
3.48 0.56 -0.36
3.49 0.56 -0.37
3.49 0.56 -0.37
3.50 0.55 -0.37
3.50 0.55 -0.38
3.51 0.55 -0.38
3.51 0.55 -0.39
3.52 0.55 -0.39
3.52 0.54 -0.39
3.53 0.54 -0.40
3.53 0.54 -0.40
3.54 0.54 -0.41
3.54 0.54 -0.41
3.55 0.53 -0.41
3.55 0.53 -0.42
3.56 0.53 -0.42
3.56 0.53 -0.43
3.57 0.52 -0.43
3.57 0.52 -0.43
3.58 0.52 -0.44
3.58 0.52 -0.44
3.59 0.52 -0.45
3.59 0.51 -0.45
3.60 0.51 -0.45
3.60 0.51 -0.46
3.61 0.51 -0.46
3.61 0.50 -0.47
3.62 0.50 -0.47
3.62 0.50 -0.47
3.63 0.50 -0.48
3.63 0.50 -0.48
3.64 0.49 -0.48
3.64 0.49 -0.49
3.65 0.49 -0.49
3.65 0.49 -0.50
3.66 0.48 -0.50
3.66 0.48 -0.50
3.67 0.48 -0.51
3.67 0.48 -0.51
3.68 0.47 -0.52
3.68 0.47 -0.52
3.69 0.47 -0.52
3.69 0.46 -0.53
3.70 0.46 -0.53
3.70 0.46 -0.53
3.71 0.46 -0.54
3.71 0.45 -0.54
3.72 0.45 -0.54
3.72 0.45 -0.55
3.73 0.45 -0.55
3.73 0.44 -0.56
3.74 0.44 -0.56
3.74 0.44 -0.56
3.75 0.43 -0.57
3.75 0.43 -0.57
3.76 0.43 -0.57
3.76 0.43 -0.58
3.77 0.42 -0.58
3.77 0.42 -0.58
3.78 0.42 -0.59
3.78 0.41 -0.59
3.79 0.41 -0.60
3.79 0.41 -0.60
3.80 0.41 -0.60
3.80 0.40 -0.61
3.81 0.40 -0.61
3.81 0.40 -0.61
3.82 0.39 -0.62
3.82 0.39 -0.62
3.83 0.39 -0.62
3.83 0.38 -0.63
3.84 0.38 -0.63
3.84 0.38 -0.63
3.85 0.37 -0.64
3.85 0.37 -0.64
3.86 0.37 -0.64
3.86 0.36 -0.65
3.87 0.36 -0.65
3.87 0.36 -0.65
3.88 0.35 -0.66
3.88 0.35 -0.66
3.89 0.35 -0.66
3.89 0.34 -0.67
3.90 0.34 -0.67
3.90 0.34 -0.67
3.91 0.33 -0.68
3.91 0.33 -0.68
3.92 0.33 -0.68
3.92 0.32 -0.69
3.93 0.32 -0.69
3.93 0.32 -0.69
3.94 0.31 -0.70
3.94 0.31 -0.70
3.95 0.31 -0.70
3.95 0.30 -0.71
3.96 0.30 -0.71
3.96 0.30 -0.71
3.97 0.29 -0.72
3.97 0.29 -0.72
3.98 0.29 -0.72
3.98 0.28 -0.73
3.99 0.28 -0.73
3.99 0.27 -0.73
4.00 0.27 -0.74
4.00 0.27 -0.74
4.01 0.26 -0.74
4.01 0.26 -0.75
4.02 0.26 -0.75
4.02 0.25 -0.75
4.03 0.25 -0.76
4.03 0.24 -0.76
4.04 0.24 -0.76
4.04 0.24 -0.77
4.05 0.23 -0.77
4.05 0.23 -0.77
4.06 0.23 -0.77
4.06 0.22 -0.78
4.07 0.22 -0.78
4.07 0.21 -0.78
4.08 0.21 -0.79
4.08 0.21 -0.79
4.09 0.20 -0.79
4.09 0.20 -0.80
4.10 0.19 -0.80
4.10 0.19 -0.80
4.11 0.19 -0.81
4.11 0.18 -0.81
4.12 0.18 -0.81
4.12 0.17 -0.81
4.13 0.17 -0.82
4.13 0.17 -0.82
4.14 0.16 -0.82
4.14 0.16 -0.83
4.15 0.15 -0.83
4.15 0.15 -0.83
4.16 0.14 -0.84
4.16 0.14 -0.84
4.17 0.14 -0.84
4.17 0.13 -0.84
4.18 0.13 -0.85
4.18 0.12 -0.85
4.19 0.12 -0.85
4.19 0.12 -0.86
4.20 0.11 -0.86
4.20 0.11 -0.86
4.21 0.10 -0.86
4.21 0.10 -0.87
4.22 0.09 -0.87
4.22 0.09 -0.87
4.23 0.08 -0.88
4.23 0.08 -0.88
4.24 0.08 -0.88
4.24 0.07 -0.88
4.25 0.07 -0.89
4.25 0.06 -0.89
4.26 0.06 -0.89
4.26 0.05 -0.90
4.27 0.05 -0.90
4.27 0.04 -0.90
4.28 0.04 -0.90
4.28 0.04 -0.91
4.29 0.03 -0.91
4.29 0.03 -0.91
4.30 0.02 -0.92
4.30 0.02 -0.92
4.31 0.01 -0.92
4.31 0.01 -0.92
4.32 0.00 -0.93
4.32 -0.00 -0.93
4.33 -0.01 -0.93
4.33 -0.01 -0.93
4.34 -0.02 -0.94
4.34 -0.02 -0.94
4.35 -0.02 -0.94
4.35 -0.03 -0.94
4.36 -0.03 -0.95
4.36 -0.04 -0.95
4.37 -0.04 -0.95
4.37 -0.05 -0.96
4.38 -0.05 -0.96
4.38 -0.06 -0.96
4.39 -0.06 -0.96
4.39 -0.07 -0.97
4.40 -0.07 -0.97
4.40 -0.08 -0.97
4.41 -0.08 -0.97
4.41 -0.09 -0.98
4.42 -0.09 -0.98
4.42 -0.10 -0.98
4.43 -0.10 -0.98
4.43 -0.11 -0.99
4.44 -0.11 -0.99
4.44 -0.12 -0.99
4.45 -0.12 -0.99
4.45 -0.13 -1.00
4.46 -0.13 -1.00
4.46 -0.14 -1.00
4.47 -0.14 -1.01
4.47 -0.15 -1.01
4.48 -0.15 -1.01
4.48 -0.16 -1.01
4.49 -0.16 -1.02
4.49 -0.17 -1.02
4.50 -0.17 -1.02
4.50 -0.18 -1.02
4.51 -0.18 -1.03
4.51 -0.19 -1.03
4.52 -0.19 -1.03
4.52 -0.20 -1.03
4.53 -0.20 -1.04
4.53 -0.21 -1.04
4.54 -0.21 -1.04
4.54 -0.22 -1.04
4.55 -0.22 -1.04
4.55 -0.23 -1.05
4.56 -0.23 -1.05
4.56 -0.24 -1.05
4.57 -0.24 -1.05
4.57 -0.25 -1.06
4.58 -0.26 -1.06
4.58 -0.26 -1.06
4.59 -0.27 -1.06
4.59 -0.27 -1.07
4.60 -0.28 -1.07
4.60 -0.28 -1.07
4.61 -0.29 -1.07
4.61 -0.29 -1.08
4.62 -0.30 -1.08
4.62 -0.30 -1.08
4.63 -0.31 -1.08
4.63 -0.31 -1.09
4.64 -0.32 -1.09
4.64 -0.33 -1.09
4.65 -0.33 -1.09
4.65 -0.34 -1.09
4.66 -0.34 -1.10
4.66 -0.35 -1.10
4.67 -0.35 -1.10
4.67 -0.36 -1.10
4.68 -0.36 -1.11
4.68 -0.37 -1.11
4.69 -0.37 -1.11
4.69 -0.38 -1.11
4.70 -0.39 -1.12
4.70 -0.39 -1.12
4.71 -0.40 -1.12
4.71 -0.40 -1.12
4.72 -0.41 -1.12
4.72 -0.41 -1.13
4.73 -0.42 -1.13
4.73 -0.43 -1.13
4.74 -0.43 -1.13
4.74 -0.44 -1.14
4.75 -0.44 -1.14
4.75 -0.45 -1.14
4.76 -0.45 -1.14
4.76 -0.46 -1.14
4.77 -0.47 -1.15
4.77 -0.47 -1.15
4.78 -0.48 -1.15
4.78 -0.48 -1.15
4.79 -0.49 -1.16
4.79 -0.49 -1.16
4.80 -0.50 -1.16
4.80 -0.51 -1.16
4.81 -0.51 -1.16
4.81 -0.52 -1.17
4.82 -0.52 -1.17
4.82 -0.53 -1.17
4.83 -0.53 -1.17
4.83 -0.54 -1.17
4.84 -0.55 -1.18
4.84 -0.55 -1.18
4.85 -0.56 -1.18
4.85 -0.56 -1.18
4.86 -0.57 -1.19
4.86 -0.58 -1.19
4.87 -0.58 -1.19
4.87 -0.59 -1.19
4.88 -0.59 -1.19
4.88 -0.60 -1.20
4.89 -0.61 -1.20
4.89 -0.61 -1.20
4.90 -0.62 -1.20
4.90 -0.62 -1.20
4.91 -0.63 -1.21
4.91 -0.64 -1.21
4.92 -0.64 -1.21
4.92 -0.65 -1.21
4.93 -0.65 -1.21
4.93 -0.66 -1.22
4.94 -0.67 -1.22
4.94 -0.67 -1.22
4.95 -0.68 -1.22
4.95 -0.68 -1.22
4.96 -0.69 -1.23
4.96 -0.70 -1.23
4.97 -0.70 -1.23
4.97 -0.71 -1.23
4.98 -0.72 -1.23
4.98 -0.72 -1.24
4.99 -0.73 -1.24
4.99 -0.73 -1.24
5.00 -0.74 -1.24
5.00 -0.75 -1.24
5.01 -0.75 -1.25
5.01 -0.76 -1.25
5.02 -0.77 -1.25
5.02 -0.77 -1.25
5.03 -0.78 -1.25
5.03 -0.78 -1.26
5.04 -0.79 -1.26
5.04 -0.80 -1.26
5.05 -0.80 -1.26
5.05 -0.81 -1.26
5.06 -0.82 -1.27
5.06 -0.82 -1.27
5.07 -0.83 -1.27
5.07 -0.83 -1.27
5.08 -0.84 -1.27
5.08 -0.85 -1.27
5.09 -0.85 -1.28
5.09 -0.86 -1.28
5.10 -0.87 -1.28
5.10 -0.87 -1.28
5.11 -0.88 -1.28
5.11 -0.89 -1.29
5.12 -0.89 -1.29
5.12 -0.90 -1.29
5.13 -0.91 -1.29
5.13 -0.91 -1.29
5.14 -0.92 -1.29
5.14 -0.92 -1.30
5.15 -0.93 -1.30
5.15 -0.94 -1.30
5.16 -0.94 -1.30
5.16 -0.95 -1.30
5.17 -0.96 -1.31
5.17 -0.96 -1.31
5.18 -0.97 -1.31
5.18 -0.98 -1.31
5.19 -0.98 -1.31
5.19 -0.99 -1.31
5.20 -1.00 -1.32
5.20 -1.00 1.32
5.21 -1.00 1.32
5.21 -0.99 1.31
5.22 -0.98 1.31
5.22 -0.98 1.31
5.23 -0.97 1.31
5.23 -0.96 1.31
5.24 -0.96 1.31
5.24 -0.95 1.30
5.25 -0.94 1.30
5.25 -0.94 1.30
5.26 -0.93 1.30
5.26 -0.92 1.30
5.27 -0.92 1.29
5.27 -0.91 1.29
5.28 -0.91 1.29
5.28 -0.90 1.28
5.29 -0.89 1.28
5.29 -0.89 1.28
5.30 -0.88 1.28
5.30 -0.87 1.29
5.31 -0.87 1.29
5.31 -0.86 1.29
5.32 -0.85 1.29
5.32 -0.85 1.29
5.33 -0.84 1.30
5.33 -0.83 1.30
5.34 -0.83 1.30
5.34 -0.82 1.30
5.35 -0.81 1.30
5.35 -0.81 1.30
5.36 -0.80 1.31
5.36 -0.80 1.31
5.37 -0.79 1.31
5.37 -0.78 1.31
5.38 -0.78 1.31
5.38 -0.77 1.32
5.39 -0.76 1.32
5.39 -0.76 1.32
5.40 -0.75 1.32
5.40 -0.74 1.32
5.41 -0.74 1.32
5.41 -0.73 1.33
5.42 -0.72 1.33
5.42 -0.72 1.33
5.43 -0.71 1.33
5.43 -0.70 1.33
5.44 -0.70 1.33
5.44 -0.69 1.34
5.45 -0.68 1.34
5.45 -0.68 1.34
5.46 -0.67 1.34
5.46 -0.66 1.34
5.47 -0.66 1.35
5.47 -0.65 1.35
5.48 -0.64 1.35
5.48 -0.64 1.35
5.49 -0.63 1.35
5.49 -0.62 1.35
5.50 -0.62 1.36
5.50 -0.61 1.36
5.51 -0.60 1.36
5.51 -0.59 1.36
5.52 -0.59 1.36
5.52 -0.58 1.36
5.53 -0.57 1.37
5.53 -0.57 1.37
5.54 -0.56 1.37
5.54 -0.55 1.37
5.55 -0.55 1.37
